Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Convention Hall Project, Chicago, Illinois (Preliminary version: interior perspective)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1954,"Collage of cut-and-pasted reproductions, photograph, and paper on composition board","33 x 48"" (83.8 x 121.9 cm)","Mies van der Rohe Archive, gift of the architect",572.1963,Architecture,Architecture & Design,1963-11-12,Y,703,https://www.moma.org/collection/works/703,https://www.moma.org/media/W1siZiIsIjUxODUyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=424e6dd4127da5b5,,,,,83.8201676403,,,121.9202438405,,
"Entrance to an Underground City, project (Perspective)",Walter Pichler,4612,"(Austrian, 1936–2012)",(Austrian),(1936),(2012),(male),1963,Photomontage and graphite on paper,"13 3/4 x 11 3/4"" (34.9 x 29.8 cm)",Philip Johnson Fund,567.1963,Architecture,Architecture & Design,1963-11-12,Y,699,https://www.moma.org/collection/works/699,https://www.moma.org/media/W1siZiIsIjUxODUyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=61b5d58765377167,,,,,34.9,,,29.8,,
"Urban Renewal in New York Project, New York, New York, Aerial perspective",Hans Hollein,2705,"(Austrian, 1934–2014)",(Austrian),(1934),(2014),(male),1964,Cut-and-pasted gelatin silver photograph on gelatin silver photograph,"8 1/8 x 10"" (20.6 x 25.4 cm)",Philip Johnson Fund,433.1967,Architecture,Architecture & Design,1967-04-11,Y,632,https://www.moma.org/collection/works/632,https://www.moma.org/media/W1siZiIsIjUxOTc1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9a654a4d237e115f,,,,,19.0,,,24.1,,
"Aircraft Carrier City in Landscape, project, Exterior perspective",Hans Hollein,2705,"(Austrian, 1934–2014)",(Austrian),(1934),(2014),(male),1964,Cut-and-pasted printed paper on gelatin silver photographs mounted on board,"8 1/2 x 39 3/8"" (21.6 x 100 cm)",Philip Johnson Fund,434.1967,Architecture,Architecture & Design,1967-04-11,Y,634,https://www.moma.org/collection/works/634,https://www.moma.org/media/W1siZiIsIjUxOTc1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d4020c3a4b370901,,,,,21.6,,,100.0,,
"Aircraft Carrier City in Landscape, project, Perspective",Hans Hollein,2705,"(Austrian, 1934–2014)",(Austrian),(1934),(2014),(male),1964,Cut-and-pasted reproduction on photograph,"4 1/2 x 7 1/4"" (11.4 x 18.4 cm)",Philip Johnson Fund,435.1967,Architecture,Architecture & Design,1967-04-11,Y,636,https://www.moma.org/collection/works/636,https://www.moma.org/media/W1siZiIsIjUxOTc1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7efb84fe8d565256,,,,,11.4,,,18.4,,
"Aircraft Carrier City in Landscape, project, Aerial perspective",Hans Hollein,2705,"(Austrian, 1934–2014)",(Austrian),(1934),(2014),(male),1964,Cut-and-pasted reproduction on photograph,"4 3/4 x 14 1/2"" (12.1 x 36.8 cm)",Philip Johnson Fund,437.1967,Architecture,Architecture & Design,1967-04-11,Y,640,https://www.moma.org/collection/works/640,https://www.moma.org/media/W1siZiIsIjUxOTc1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=588aa6a655f5dac9,,,,,12.1,,,36.8,,
"Highrise Building, Sparkplug, project (Exterior perspective)",Hans Hollein,2705,"(Austrian, 1934–2014)",(Austrian),(1934),(2014),(male),1964,Cut-and-pasted printed paper on gelatin silver photograph,"4 3/4 x 7 1/4"" (12.1 x 18.4 cm)",Philip Johnson Fund,438.1967,Architecture,Architecture & Design,1967-04-11,Y,642,https://www.moma.org/collection/works/642,https://www.moma.org/media/W1siZiIsIjUxOTc1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5e0875a313298416,,,,,12.1,,,18.4,,
"Highrise Building, Theodolite, project, Perspective",Hans Hollein,2705,"(Austrian, 1934–2014)",(Austrian),(1934),(2014),(male),1964,Cut-and-pasted printed papers on gelatin silver photograph mounted on board,"6 3/4 x 17 1/2"" (17.1 x 44.5 cm)",Philip Johnson Fund,439.1967,Architecture,Architecture & Design,1967-04-11,Y,644,https://www.moma.org/collection/works/644,https://www.moma.org/media/W1siZiIsIjUxOTc2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=32431e10c2f95523,,,,,17.1,,,44.5,,
"Universal City, from the Linear City Series, project, Aerial perspective of Earth's horizon",Raimund Abraham,47,"(American, born Austria. 1933–2010)",(American),(1933),(2010),(male),1966,"Cut-and-pasted printed papers, cut-and-pasted gelatin silver photograph, and ink on board","13 1/8 x 17"" (33.3 x 43.2 cm)",Purchase,1292.1968,Architecture,Architecture & Design,1968-10-07,Y,917,https://www.moma.org/collection/works/917,https://www.moma.org/media/W1siZiIsIjUxOTU3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=25f981e9efd7927d,,,,,33.3376,,,43.1801,,
"Universal City, project, Aerial perspective of New York",Raimund Abraham,47,"(American, born Austria. 1933–2010)",(American),(1933),(2010),(male),1966,Photomontage,"15 1/4 x 23"" (38.7 x 58.4 cm)",Gift of the architect,1291.1968,Architecture,Architecture & Design,1968-10-07,Y,915,https://www.moma.org/collection/works/915,,,,,,38.7351,,,58.4201,,
